epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,399.979,0.504,0.72862,0.49405,0.9502,0.62978,0.65223,0.68749,0.55888,0.62185,0.6278,0.68201,0.55512,0.77422,1.75834,1.01416,1.19766,0.000594286,0.000594286,0.000594286
80,404.17,0.54348,0.75948,0.51997,0.96885,0.85846,0.60053,0.72413,0.58407,0.85846,0.60053,0.7178,0.57777,0.7643,1.64653,0.91312,1.19514,0.000580533,0.000580533,0.000580533
81,408.421,0.54051,0.7926,0.51538,0.97265,0.83286,0.62602,0.7195,0.58023,0.83286,0.62602,0.7126,0.57209,0.78243,1.68409,0.94398,1.20454,0.00056678,0.00056678,0.00056678
82,412.603,0.52388,0.71443,0.50689,0.96949,0.87137,0.61159,0.71811,0.5859,0.87137,0.61159,0.71208,0.58278,0.75267,1.81484,1.01294,1.14322,0.000553027,0.000553027,0.000553027
83,416.879,0.51013,0.705,0.45595,0.95647,0.81209,0.63209,0.69388,0.58297,0.81209,0.63209,0.69284,0.57784,0.72228,1.85529,1.00096,1.13556,0.000539275,0.000539275,0.000539275
84,421.113,0.52734,0.70987,0.47368,0.95554,0.8457,0.60604,0.68498,0.58242,0.8457,0.60604,0.6839,0.56407,0.74188,2.01149,1.04841,1.16377,0.000525522,0.000525522,0.000525522
85,425.314,0.49213,0.64667,0.44079,0.93462,0.82024,0.59358,0.68288,0.58017,0.82024,0.59358,0.68262,0.56425,0.76046,2.04466,1.0622,1.17695,0.000511769,0.000511769,0.000511769
86,429.479,0.48984,0.70244,0.44017,0.93427,0.70689,0.67754,0.68796,0.5854,0.70689,0.67754,0.68247,0.57111,0.74664,2.07475,0.99822,1.19423,0.000498016,0.000498016,0.000498016
87,433.642,0.54269,0.78654,0.48116,0.98273,0.77192,0.65579,0.71507,0.60082,0.77192,0.65579,0.70308,0.59833,0.74047,2.08268,0.94218,1.23016,0.000484263,0.000484263,0.000484263
88,437.899,0.50606,0.71201,0.43981,0.94165,0.73681,0.60991,0.68553,0.56927,0.73681,0.60991,0.68024,0.56495,0.74131,2.09601,0.97063,1.28346,0.000470511,0.000470511,0.000470511
89,442.12,0.51363,0.72575,0.44372,0.95338,0.67337,0.65269,0.65808,0.53803,0.67337,0.65269,0.65177,0.52599,0.7598,2.10128,1.03733,1.3087,0.000456758,0.000456758,0.000456758
90,446.321,0.47122,0.65917,0.44481,0.93691,0.68582,0.60027,0.61945,0.50396,0.68582,0.60027,0.61866,0.4913,0.78042,2.01544,1.0834,1.33419,0.000443005,0.000443005,0.000443005
91,450.522,0.50233,0.70843,0.452,0.93831,0.62394,0.68378,0.60505,0.48539,0.67246,0.63637,0.598,0.47728,0.80407,1.94074,1.13292,1.2531,0.000429253,0.000429253,0.000429253
92,454.731,0.51465,0.75422,0.48467,0.96015,0.67155,0.64884,0.63337,0.51403,0.67815,0.65865,0.63659,0.50862,0.79368,1.95954,1.19813,1.19732,0.0004155,0.0004155,0.0004155
93,458.937,0.49907,0.73623,0.44907,0.93618,0.7186,0.61838,0.66062,0.53958,0.7186,0.61838,0.66016,0.54054,0.78077,1.978,1.22083,1.17761,0.000401747,0.000401747,0.000401747
94,463.146,0.44697,0.65134,0.44067,0.92094,0.7482,0.62685,0.69419,0.58529,0.7482,0.62685,0.69243,0.57379,0.74636,1.92791,1.20525,1.17969,0.000387994,0.000387994,0.000387994
95,467.355,0.49772,0.70068,0.43203,0.94606,0.83531,0.60957,0.72533,0.62401,0.83531,0.60957,0.72276,0.60545,0.69359,1.60208,1.08719,1.15758,0.000374242,0.000374242,0.000374242
96,471.634,0.47186,0.66319,0.42655,0.92721,0.85135,0.65705,0.73031,0.62041,0.85135,0.65705,0.72313,0.59654,0.68064,1.63385,1.01044,1.13321,0.000360489,0.000360489,0.000360489
97,475.841,0.47277,0.68407,0.43297,0.93568,0.85087,0.65865,0.74069,0.6228,0.85087,0.65865,0.7328,0.59753,0.69536,1.6222,0.99211,1.1287,0.000346736,0.000346736,0.000346736
98,480.04,0.48913,0.67244,0.449,0.95816,0.84949,0.67461,0.74808,0.63136,0.84949,0.67461,0.7433,0.60766,0.71806,1.57678,0.95682,1.13816,0.000332983,0.000332983,0.000332983
